station,strata,lon,lat,1979,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1.1,1,-60.92,46.83,8.4,2.4,40.6,8.9,,39.9,378.3,0.4,44.9,61.5,4.0,85.8,3.0,25.6,14.3,2.6,18.4,20.4,36.7,91.0,0.0,2.3,1.3,2.8,3.3,,36.0,43.4
1.2,1,-60.75,47.17,87.9,4.4,79.9,29.5,,158.1,56.6,23.9,15.0,4.7,28.6,23.6,27.2,59.2,24.9,3.5,10.4,29.8,7.2,24.2,0.0,1.4,,2.1,3.3,0.0,0.0,44.3
1.3,1,-60.75,47.5,0.0,60.8,0.0,0.0,0.0,40.5,0.0,2.8,0.0,0.0,23.7,0.0,0.0,0.2,22.6,0.0,0.9,0.4,0.0,0.6,2.9,5.9,,0.0,0.0,0.0,0.0,0.6
1.4,1,-60.75,47.83,0.0,23.9,2.2,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1.5,1,-60.75,48.17,1.1,0.5,0.0,0.8,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,,0.0,0.0,0.0,0.0,0.0
2.1,1,-61.25,46.5,86.2,37.5,67.9,74.6,,172.5,221.5,31.0,171.2,110.2,32.2,59.7,8.2,9.7,7.3,5.5,20.8,166.7,4.2,14.9,0.4,2.4,1.9,0.0,1.1,0.5,5.8,21.8
2.2,1,-61.25,46.83,38.4,2.7,35.8,19.5,,246.0,227.3,10.0,8.2,14.3,6.1,11.2,6.0,27.4,24.1,4.6,17.7,92.2,18.8,11.2,1.0,1.4,1.1,9.0,7.2,0.0,1.5,13.1
2.3,1,-61.25,47.17,15.1,30.7,16.8,104.8,,213.5,117.0,43.8,11.4,0.0,48.3,11.0,4.8,20.3,181.1,0.0,5.4,0.0,1.4,81.2,0.2,0.0,2.2,2.7,0.0,1.0,0.2,0.9
2.4,1,-61.25,47.5,105.1,87.2,14.1,7.7,284.3,121.6,4.0,4.5,3.4,2.3,5.1,0.9,0.0,54.4,1.5,0.0,0.2,0.0,0.0,6.3,1.7,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2.5,1,-61.25,47.83,59.7,132.9,1.7,0.0,666.3,228.1,0.0,1.4,0.0,,1.7,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,8.7,0.0,0.2,0.0,0.0,0.0,0.1,0.0
2.6,1,-61.25,48.17,0.1,8.2,6.9,0.0,0.0,28.5,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,1,-61.77,45.83,122.1,76.4,82.9,63.6,,104.8,508.5,124.8,99.5,135.0,27.4,185.2,56.8,18.3,22.5,40.9,59.9,49.8,154.5,1.5,5.9,69.7,1.0,3.3,3.7,2.2,9.1,156.0
3.2,1,-61.75,46.17,7.5,58.2,31.7,97.1,48.4,209.4,121.6,128.5,65.9,125.0,184.9,50.3,1.9,9.5,46.9,8.2,104.9,180.9,13.0,14.1,0.3,0.2,0.2,1.2,0.4,0.8,5.8,47.3
3.3,1,-61.75,46.5,84.3,78.5,87.1,176.5,609.6,372.2,108.4,46.6,52.7,135.0,93.6,20.4,22.4,95.4,18.0,37.2,123.0,106.3,20.5,39.4,0.0,20.5,0.7,1.7,4.2,2.4,2.5,1.9
3.4,1,-61.75,46.83,136.6,12.8,60.1,186.8,183.4,174.5,167.6,37.8,15.6,8.8,45.0,16.2,9.5,30.4,61.3,,66.0,60.3,9.2,35.3,0.0,11.8,0.0,3.0,2.5,2.0,0.0,0.6
3.5,1,-61.75,47.17,49.6,164.2,7.8,229.7,271.7,194.6,528.0,43.1,24.8,16.7,23.6,40.0,0.6,64.2,54.8,1.3,9.2,1.3,0.4,68.6,2.9,8.3,14.9,0.8,0.0,0.4,1.4,0.0
3.6,2,-61.83,47.58,306.1,61.9,313.1,129.4,1 248.7,148.2,65.5,112.7,0.0,4.4,0.9,6.7,0.2,5.0,0.0,0.3,0.8,0.0,0.0,0.0,1.2,0.0,0.1,2.3,0.0,0.0,3.6,0.0
3.7,2,-61.75,47.83,65.4,,10.0,186.9,960.3,93.2,0.0,2.3,4.9,450.7,14.0,1.2,0.0,1.1,,0.0,0.0,0.0,0.0,0.0,0.6,0.0,67.8,351.8,0.0,0.0,0.4,0.0
3.8,1,-61.75,48.17,0.3,2.7,0.9,302.9,0.0,93.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.7,0.0,0.0
3.9,1,-61.75,48.33,,0.3,0.0,5.4,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0
4.1,1,-62.25,45.83,22.3,119.9,165.8,64.3,264.4,146.5,,237.8,64.3,106.5,2.3,16.6,7.7,0.8,0.8,3.7,28.9,6.8,97.7,1.0,0.4,0.0,0.5,0.3,1.6,2.6,42.8,116.4
4.2,1,-62.25,46.17,16.9,29.9,173.6,149.9,,20.9,,19.6,25.7,299.6,7.6,9.7,18.9,9.0,51.0,9.5,38.7,1 077.3,152.2,219.4,0.0,2.9,1.2,4.7,15.3,2.4,16.3,203.8
4.3,2,-62.25,46.57,132.0,92.4,74.8,74.7,505.8,322.2,407.6,59.8,141.6,595.6,664.9,127.5,77.1,47.6,1.5,40.7,89.0,413.7,806.2,16.0,0.0,95.0,2.7,16.3,29.8,57.7,1.5,11.1
4.4,2,-62.25,46.83,130.7,6.8,353.0,257.5,453.0,142.6,,34.8,25.9,23.3,149.7,10.4,9.1,48.4,67.7,0.0,36.0,205.2,4.3,60.6,0.3,1.1,10.3,5.6,3.3,1.2,0.4,1.3
4.5,2,-62.25,47.17,188.1,41.5,113.2,863.6,404.2,29.6,1 106.7,228.0,57.4,24.3,187.3,6.7,2.5,180.7,351.5,2.4,50.1,1.4,0.3,10.8,14.0,0.7,0.4,13.3,0.5,1.6,0.4,2.3
4.6,2,-62.25,47.5,938.7,635.6,204.4,244.9,689.0,165.8,559.5,1 418.2,3.9,329.2,277.5,610.1,0.0,6.7,161.5,0.2,18.9,0.0,0.0,38.5,11.3,20.7,107.5,0.3,121.3,2.2,0.0,0.0
4.7,3,-62.25,47.83,1 239.3,585.3,154.6,384.4,1 988.1,381.5,215.1,5.5,255.1,1 697.4,88.9,0.0,0.0,1.1,14.7,0.0,0.2,0.0,0.0,0.5,0.0,0.0,276.1,64.2,0.0,0.0,0.0,0.0
4.8,2,-62.25,48.17,43.3,632.7,0.0,901.9,70.3,15.4,0.0,6.0,0.0,542.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.1,35.9,35.0,1.4,0.0,0.0,0.0,0.6
4.9,1,-62.25,48.33,,17.7,0.4,4.7,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6,0.0,0.0,0.0,0.0
5.1,2,-62.75,46.5,136.1,56.1,44.0,230.5,1 418.8,1.0,1 385.3,16.1,177.9,53.2,1.1,18.9,75.1,3.1,0.6,23.6,19.2,209.5,1 067.1,11.1,2.0,2.5,12.4,2.6,30.7,2.6,0.6,52.7
5.2,2,-62.75,46.83,133.8,16.7,92.5,504.4,438.5,154.6,1 119.0,38.9,249.1,508.4,189.6,152.1,138.3,100.0,37.8,28.9,275.6,456.8,117.3,208.8,0.0,135.1,49.3,28.4,8.7,8.1,0.0,0.0
5.3,3,-62.75,47.17,160.0,153.6,1 850.2,339.4,388.4,781.7,449.1,203.7,114.0,397.7,288.9,238.6,3.9,402.6,253.1,334.8,952.9,36.9,15.2,13.5,3.6,34.0,285.5,9.0,8.0,3.2,0.3,0.0
5.4,3,-62.75,47.5,526.6,508.2,1 224.6,699.7,1 159.4,793.1,766.3,1 796.5,611.3,486.0,174.1,66.7,1.4,268.3,99.0,0.0,895.6,0.0,119.2,0.1,4.0,479.5,112.0,71.4,2.6,1.5,0.0,0.0
5.5,3,-62.75,47.83,214.9,1 493.2,1 129.7,439.8,2 645.8,1 928.3,286.2,186.9,344.8,2 579.5,363.9,149.2,321.4,108.8,248.5,0.0,28.1,0.0,391.6,0.0,6.3,465.4,,61.7,98.1,0.9,0.0,0.0
5.6,2,-62.75,48.17,27.3,74.6,569.9,891.3,418.9,239.1,0.5,0.0,0.2,42.5,1 569.5,358.4,0.0,0.0,0.6,0.0,,0.0,0.0,0.2,5.6,28.5,48.6,39.3,1.0,0.4,0.0,0.0
5.7,1,-62.75,48.33,2.8,24.3,36.6,231.6,618.9,46.4,0.6,1.1,0.0,6.9,133.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8,0.0,0.0,0.0,0.0
6.1,2,-63.25,46.5,188.7,10.3,69.9,28.9,182.0,3.7,50.0,66.0,6.5,189.1,0.0,178.9,129.8,1.3,2.8,24.5,3.2,677.6,1 009.4,18.3,0.5,108.9,12.3,2.6,13.1,56.9,10.1,98.7
6.2,2,-63.25,46.83,291.7,133.2,127.2,212.6,578.6,205.6,706.4,60.6,179.4,306.5,119.4,234.2,937.3,82.0,37.8,74.9,355.6,601.2,928.9,828.9,0.5,54.9,14.7,5.2,11.0,15.4,0.0,0.3
6.3,2,63.25,47.17,333.8,132.6,519.3,228.0,572.1,126.4,1 044.6,124.0,153.7,103.1,147.7,605.3,96.3,422.7,89.9,37.9,765.4,896.4,300.2,638.9,0.6,100.3,199.9,66.4,0.7,16.3,0.0,0.0
6.4,3,-63.25,47.5,143.7,125.0,935.1,1 275.4,1 040.5,584.5,555.4,561.4,551.7,2 684.3,453.6,1261.6,2 004.5,114.8,99.2,47.3,600.0,115.0,0.0,0.4,80.3,35.1,93.7,136.8,0.0,0.8,0.0,0.0
6.5,3,-63.25,47.83,87.7,488.0,959.5,534.3,1 726.2,898.6,2 233.0,29.6,323.4,2 348.0,2 168.3,2 002.5,170.8,27.8,99.3,201.3,32.7,0.0,130.1,0.0,72.9,420.4,,5.7,0.0,0.7,0.0,0.0
6.6,3,-63.25,48.17,17.2,163.6,511.6,1 556.3,2 262.0,642.4,96.1,65.2,694.4,8.9,1 271.1,545.3,83.0,0.5,16.2,0.0,0.0,0.0,2.2,0.2,15.3,262.8,513.8,6.7,0.0,4.1,0.4,159.3
6.7,2,-63.25,48.5,9.4,20.3,4.9,86.8,677.6,342.7,1.2,54.6,1.0,0.0,0.0,47.1,0.0,0.0,22.5,0.6,0.0,0.0,0.2,0.0,25.6,14.7,,0.0,0.0,0.3,0.9,19.8
7.1,2,-63.75,46.83,418.4,66.3,89.7,709.2,2 834.6,27.1,209.6,49.1,178.3,407.4,239.0,820.6,810.0,88.7,34.5,381.2,522.7,674.7,1 436.4,1 205.2,0.1,45.9,45.7,17.5,29.6,47.1,6.0,1.0
7.2,3,-63.75,47.17,400.0,14.9,82.4,685.4,1 896.4,226.3,803.8,208.9,1 231.5,559.5,151.9,2 101.0,297.8,31.0,125.5,79.9,659.0,1 785.6,535.3,433.9,2.1,71.1,113.4,45.8,8.5,5.6,1.0,6.3
7.3,3,-63.75,47.5,326.5,142.5,244.3,1 243.0,477.0,673.6,1 726.3,673.6,404.5,249.5,1 045.7,1 208.8,2 450.5,38.7,11.6,137.5,425.6,1 413.2,2.5,36.8,4.4,232.2,397.2,204.8,90.2,1.7,0.0,54.8
7.4,3,-63.75,47.83,36.0,141.7,446.3,1 545.1,364.0,1 357.2,351.4,661.3,647.8,540.1,232.5,344.6,298.6,79.8,186.2,2 093.4,2 100.3,3.3,0.0,12.3,9.5,57.3,,112.8,2.2,85.3,0.0,21.3
7.5,2,-63.75,48.17,18.0,118.1,632.7,773.5,1 972.2,583.1,610.5,1 342.5,157.1,515.3,1 315.0,159.0,456.3,154.1,26.4,23.1,112.7,0.2,0.0,0.0,15.2,30.2,86.9,19.8,5.9,25.7,21.1,158.3
7.6,2,-63.75,48.5,12.9,36.7,676.5,404.2,1 508.7,0.8,297.2,217.2,2.9,0.0,40.1,2.6,10.8,,0.0,0.0,1.4,0.0,0.0,0.2,3.5,61.0,11.9,438.2,0.2,28.2,34.4,135.0
7.7,1,-63.75,48.83,,87.2,160.7,33.6,20.4,5.5,0.4,3.9,13.2,2.1,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.1,,4.6,8.2,0.4,0.7,0.0,19.7,1.9,7.1
8.1,1,-64.37,46.83,,10.3,23.1,70.3,147.5,2.8,14.7,0.0,2.4,16.7,2.1,157.0,72.7,1.5,2.6,0.7,27.2,95.0,,24.1,0.7,0.0,5.9,39.3,58.6,1.9,12.9,12.5
8.2,2,-64.25,47.17,637.4,112.7,41.3,,716.3,213.4,1 442.9,121.9,524.8,377.6,91.6,2 822.2,723.1,11.5,55.3,45.3,207.2,508.1,341.3,26.0,23.9,54.9,85.1,40.2,39.0,135.4,0.3,48.3
8.3,3,-64.25,47.5,617.1,102.2,433.7,716.1,1 416.9,414.7,1 121.6,754.6,501.7,1 158.3,431.6,2 945.7,637.4,397.8,66.1,40.2,250.0,676.5,13.6,711.0,153.8,179.7,314.8,94.9,66.3,209.2,4.2,5.0
8.4,3,-64.25,47.83,314.3,61.6,705.8,958.1,2 714.4,4 558.1,1 414.4,528.4,1 821.9,596.8,2 183.6,217.7,421.1,54.7,62.2,79.3,173.1,581.2,125.9,126.2,14.5,184.5,723.4,779.1,1.7,53.8,52.9,223.8
8.5,3,-64.25,48.17,42.3,18.2,827.4,372.6,910.4,207.0,3 176.1,212.5,814.3,2 284.5,1 194.2,659.9,184.7,247.5,76.5,150.1,774.5,195.5,8.4,8.7,10.1,211.4,109.7,84.3,0.4,6.9,32.6,436.2
8.6,2,-64.08,48.5,34.3,29.7,331.9,83.8,924.9,272.8,1 609.9,23.6,94.2,94.1,24.9,39.3,256.6,35.6,0.3,0.8,0.0,0.0,0.0,0.1,21.4,246.8,7.8,,127.3,42.3,1.4,128.7
8.7,1,-64.08,48.75,,18.3,75.8,308.3,133.7,31.2,147.2,9.2,19.5,431.1,115.1,,5.1,0.9,0.0,0.0,0.0,0.0,0.2,0.0,7.9,97.6,4.1,,3.2,37.2,113.7,1.3
9.1,1,-64.67,46.83,,76.6,161.6,11.7,196.6,39.9,20.4,0.0,128.6,248.3,21.3,692.8,307.7,2.1,1.8,82.7,32.1,225.8,1215.7,254.3,20.7,1.4,87.2,83.1,1.0,1.5,13.0,145.2
9.2,1,-64.75,47.17,13.3,22.7,144.7,6.3,237.4,17.9,574.6,48.7,355.7,695.2,74.7,669.6,114.1,0.9,2.2,12.4,245.5,140.1,539.1,429.8,11.3,6.5,75.1,74.7,79.4,197.2,1.4,332.4
9.3,2,-64.67,47.5,344.5,49.2,292.4,522.0,1 105.0,151.1,433.5,648.5,722.5,1 089.5,441.1,1 399.4,128.6,49.5,199.2,153.2,352.7,593.2,1 117.4,765.9,17.8,38.2,151.5,407.7,71.2,775.8,60.5,72.5
9.4,2,-64.75,47.93,151.5,25.7,780.9,684.3,771.4,1 120.1,972.0,53.3,35.2,222.0,331.3,362.6,24.8,1.3,1.5,21.0,0.0,134.1,68.7,0.4,13.1,22.6,0.5,75.3,2.4,1.3,0.0,37.0
9.5,3,-64.75,48.17,172.7,40.4,128.6,1 458.0,1 041.1,1 154.3,1 261.5,451.4,2 411.7,1 990.8,1 834.5,950.1,366.6,132.2,38.2,50.9,50.2,10.6,0.8,0.0,2.6,1 165.3,785.1,13.0,265.3,31.4,32.3,194.4
10.1,2,-65.25,47.93,193.3,8.5,923.5,676.7,425.8,182.9,159.0,221.9,683.1,95.0,1 537.5,212.1,160.3,98.3,1.3,30.8,8.3,7.6,2.0,1.8,11.4,550.2,113.3,49.2,10.4,24.3,4.4,90.3
11.1,3,-65.75,48,604.7,111.8,334.3,1 261.6,622.9,1 175.7,858.4,1 054.8,1 069.6,866.1,1 314.7,395.3,176.9,52.8,119.0,100.4,37.8,375.8,214.1,15.0,9.6,35.9,63.3,22.4,62.4,25.0,6.7,166.8
12.1,3,-66.13,48.05,1 736.0,1.2,241.1,493.2,1 181.9,632.6,25.2,4.6,160.3,54.3,77.8,236.1,539.6,1.9,21.8,1.4,1.4,23.2,4.7,,,2.1,,2.1,2.5,2.6,9.2,23.7
